	Emu_protein	Hmi_protein	Mco_protein
OG0006178	EmuJ_001177200.1	HmN_000151500.1	MCOS_0000638001-mRNA-1
OG0006179	EmuJ_001177300.1	HmN_000151600.1	MCOS_0000638101-mRNA-1
OG0006180	EmuJ_001177500.1	HmN_000151700.1	MCOS_0000638201-mRNA-1
OG0006181	EmuJ_001177600.1	HmN_000151800.1	MCOS_0000638301-mRNA-1
OG0006182	EmuJ_001177700.1	HmN_000151900.1	MCOS_0000246201-mRNA-1
OG0006183	EmuJ_001177850.1	HmN_000288600.1	MCOS_0000246301-mRNA-1
OG0006184	EmuJ_001177900.1	HmN_000683100.1	MCOS_0000246401-mRNA-1
OG0006185	EmuJ_001178100.1	HmN_000624300.1	MCOS_0000413201-mRNA-1
OG0006186	EmuJ_001178200.1	HmN_000624200.1	MCOS_0000885501-mRNA-1
OG0006187	EmuJ_001178500.1	HmN_000624000.1	MCOS_0000885701-mRNA-1
OG0006188	EmuJ_001178600.1	HmN_000623900.1	MCOS_0000885901-mRNA-1
OG0006189	EmuJ_001178700.1	HmN_000623800.1	MCOS_0000920501-mRNA-1
OG0006190	EmuJ_001178800.1	HmN_002150800.1	MCOS_0000691801-mRNA-1
OG0006191	EmuJ_001179000.1	HmN_002150300.1	MCOS_0000691701-mRNA-1
OG0006192	EmuJ_001179100.1	HmN_000747700.1	MCOS_0000691301-mRNA-1
OG0006193	EmuJ_001179300.1	HmN_000747600.1	MCOS_0000691201-mRNA-1
OG0006194	EmuJ_001179400.1	HmN_000747500.1	MCOS_0000691101-mRNA-1
OG0006195	EmuJ_001179500.1	HmN_000747100.1	MCOS_0000691001-mRNA-1
OG0006196	EmuJ_001179600.1	HmN_000747200.1	MCOS_0000690701-mRNA-1
OG0006197	EmuJ_001179800.1	HmN_000747000.1	MCOS_0000690901-mRNA-1
OG0006198	EmuJ_001179900.1	HmN_000746900.1	MCOS_0000251601-mRNA-1
OG0006199	EmuJ_001180200.1	HmN_000746600.1	MCOS_0000251801-mRNA-1
OG0006200	EmuJ_001180300.1	HmN_000746400.1	MCOS_0000251901-mRNA-1
OG0006201	EmuJ_001180400.1	HmN_000746300.1	MCOS_0000412901-mRNA-1
OG0006202	EmuJ_001180500.1	HmN_000746200.1	MCOS_0000577601-mRNA-1
OG0006203	EmuJ_001180600.1	HmN_002150000.1	MCOS_0000577501-mRNA-1
OG0006204	EmuJ_001180700.1	HmN_002100100.1	MCOS_0000577301-mRNA-1
OG0006205	EmuJ_001180900.1	HmN_000059500.1	MCOS_0000577201-mRNA-1
OG0006206	EmuJ_001181100.1	HmN_000059700.1	MCOS_0000577101-mRNA-1
OG0006207	EmuJ_001181300.1	HmN_000059800.1	MCOS_0000577001-mRNA-1
OG0006208	EmuJ_001181400.1	HmN_000060000.1	MCOS_0000576801-mRNA-1
OG0006209	EmuJ_001181500.1	HmN_000060200.1	MCOS_0000576701-mRNA-1
OG0006210	EmuJ_001181600.1	HmN_000060300.1	MCOS_0000576601-mRNA-1
OG0006211	EmuJ_001182000.1	HmN_000060900.1	MCOS_0000279101-mRNA-1
OG0006212	EmuJ_001182400.1	HmN_000061200.1	MCOS_0000726201-mRNA-1
OG0006213	EmuJ_001182700.1	HmN_000061400.1	MCOS_0000725801-mRNA-1
OG0006214	EmuJ_001182800.1	HmN_002272400.1	MCOS_0000725701-mRNA-1
OG0006215	EmuJ_001182900.1	HmN_000061600.1	MCOS_0000725501-mRNA-1
OG0006216	EmuJ_001183000.1	HmN_000061700.1	MCOS_0000725401-mRNA-1
OG0006217	EmuJ_001183100.1	HmN_000061800.1	MCOS_0000725301-mRNA-1
OG0006218	EmuJ_001183400.1	HmN_000062000.1	MCOS_0000307501-mRNA-1
OG0006219	EmuJ_001184100.1	HmN_000062200.1	MCOS_0000760901-mRNA-1
OG0006220	EmuJ_001184300.1	HmN_000062400.1	MCOS_0000238601-mRNA-1
OG0006221	EmuJ_001184400.1	HmN_000062500.1	MCOS_0000749201-mRNA-1
OG0006222	EmuJ_001184600.1	HmN_000062600.1	MCOS_0000749301-mRNA-1
OG0006223	EmuJ_001184800.1	HmN_000062800.1	MCOS_0000749501-mRNA-1
OG0006224	EmuJ_001184900.1	HmN_000062900.1	MCOS_0000749601-mRNA-1
OG0006225	EmuJ_001185200.1	HmN_000063200.1	MCOS_0000260501-mRNA-1
OG0006226	EmuJ_001185300.1	HmN_000063300.1	MCOS_0000260601-mRNA-1
OG0006227	EmuJ_001185500.1	HmN_000063350.1	MCOS_0000260801-mRNA-1
OG0006228	EmuJ_001185600.1	HmN_000063400.1	MCOS_0000260901-mRNA-1
OG0006229	EmuJ_001185650.1	HmN_000063600.1	MCOS_0000291801-mRNA-1
OG0006230	EmuJ_001185700.1	HmN_000063700.1	MCOS_0000291901-mRNA-1
OG0006231	EmuJ_001186000.1	HmN_000063900.1	MCOS_0000364301-mRNA-1
OG0006232	EmuJ_001186100.1	HmN_000064000.1	MCOS_0000773501-mRNA-1
OG0006233	EmuJ_001186200.1	HmN_000064100.1	MCOS_0000292001-mRNA-1
OG0006234	EmuJ_001186300.1	HmN_000064200.1	MCOS_0000019801-mRNA-1
OG0006235	EmuJ_001186600.1	HmN_000066700.1	MCOS_0000275601-mRNA-1
OG0006236	EmuJ_001186800.1	HmN_000066400.1	MCOS_0000701401-mRNA-1
OG0006237	EmuJ_001186900.1	HmN_000066300.1	MCOS_0000701301-mRNA-1
OG0006238	EmuJ_001187100.1	HmN_000066200.1	MCOS_0000701201-mRNA-1
OG0006239	EmuJ_001187400.1	HmN_000066100.1	MCOS_0000701101-mRNA-1
OG0006240	EmuJ_001187600.1	HmN_000066000.1	MCOS_0000701001-mRNA-1
OG0006241	EmuJ_001187700.1	HmN_000065900.1	MCOS_0000700901-mRNA-1
OG0006242	EmuJ_001188000.1	HmN_000065800.1	MCOS_0000700801-mRNA-1
OG0006243	EmuJ_001188100.1	HmN_002272600.1	MCOS_0000700601-mRNA-1
OG0006244	EmuJ_001188200.1	HmN_000065700.1	MCOS_0000380901-mRNA-1
OG0006245	EmuJ_001188300.1	HmN_000065600.1	MCOS_0000429801-mRNA-1
OG0006246	EmuJ_001188400.1	HmN_000065500.1	MCOS_0000429901-mRNA-1
OG0006247	EmuJ_001188500.1	HmN_000065400.1	MCOS_0000912001-mRNA-1
OG0006248	EmuJ_001188600.1	HmN_000065300.1	MCOS_0000911901-mRNA-1
OG0006249	EmuJ_001188700.1	HmN_000065200.1	MCOS_0000911801-mRNA-1
OG0006250	EmuJ_001188800.1	HmN_000065100.1	MCOS_0000911701-mRNA-1
OG0006251	EmuJ_001189100.1	HmN_000065000.1	MCOS_0000911501-mRNA-1
OG0006252	EmuJ_001189200.1	HmN_000064800.1	MCOS_0000911401-mRNA-1
OG0006253	EmuJ_001189300.1	HmN_000126500.2	MCOS_0000275501-mRNA-1
OG0006254	EmuJ_001189600.1	HmN_000199000.1	MCOS_0000760601-mRNA-1
OG0006255	EmuJ_001189700.1	HmN_000199100.1	MCOS_0000760501-mRNA-1
OG0006256	EmuJ_001189800.1	HmN_000198400.1	MCOS_0000991301-mRNA-1
OG0006257	EmuJ_001189900.1	HmN_000198300.1	MCOS_0000991401-mRNA-1
OG0006258	EmuJ_001190000.1	HmN_000198200.1	MCOS_0000991501-mRNA-1
OG0006259	EmuJ_001190100.1	HmN_000198100.1	MCOS_0000927601-mRNA-1
OG0006260	EmuJ_001190200.1	HmN_000197900.1	MCOS_0000927401-mRNA-1
OG0006261	EmuJ_001190500.1	HmN_000198800.1	MCOS_0000222101-mRNA-1
OG0006262	EmuJ_001190600.1	HmN_002101700.1	MCOS_0000296101-mRNA-1
OG0006263	EmuJ_001190800.1	HmN_002101500.1	MCOS_0000295901-mRNA-1
OG0006264	EmuJ_001190900.1	HmN_002101400.1	MCOS_0000019701-mRNA-1
OG0006265	EmuJ_001191400.1	HmN_002101200.1	MCOS_0000019401-mRNA-1
OG0006266	EmuJ_001191900.1	HmN_000070900.1	MCOS_0000019201-mRNA-1
OG0006267	EmuJ_001192100.1	HmN_000070800.1	MCOS_0000019101-mRNA-1
OG0006268	EmuJ_001192200.1	HmN_000070700.1	MCOS_0000019001-mRNA-1
OG0006269	EmuJ_001192300.1	HmN_000070600.1	MCOS_0000018901-mRNA-1
OG0006270	EmuJ_001192400.1	HmN_000224200.1	MCOS_0000018801-mRNA-1
OG0006271	EmuJ_001192500.1	HmN_000070500.1	MCOS_0000018401-mRNA-1
OG0006272	EmuJ_001192900.1	HmN_000070400.1	MCOS_0000018501-mRNA-1
OG0006273	EmuJ_001193000.1	HmN_000070300.1	MCOS_0000018601-mRNA-1
OG0006274	EmuJ_001193800.1	HmN_000069700.1	MCOS_0000044201-mRNA-1
OG0006275	EmuJ_001193900.1	HmN_000069800.1	MCOS_0000044101-mRNA-1
OG0006276	EmuJ_001194000.1	HmN_000069900.1	MCOS_0000044001-mRNA-1
OG0006277	EmuJ_001194100.1	HmN_000070000.1	MCOS_0000043901-mRNA-1
OG0006278	EmuJ_001194200.1	HmN_000070100.1	MCOS_0000043801-mRNA-1
OG0006279	EmuJ_001194500.1	HmN_000069200.1	MCOS_0000043501-mRNA-1
OG0006280	EmuJ_001194900.1	HmN_000068900.1	MCOS_0000043301-mRNA-1
OG0006281	EmuJ_001195000.1	HmN_000068800.1	MCOS_0000228801-mRNA-1
OG0006282	EmuJ_001195200.1	HmN_000193500.1	MCOS_0000228601-mRNA-1
OG0006283	EmuJ_001195300.1	HmN_000193600.1	MCOS_0000228501-mRNA-1
OG0006284	EmuJ_001195500.1	HmN_000193700.1	MCOS_0000905801-mRNA-1
OG0006285	EmuJ_001195600.1	HmN_000193800.1	MCOS_0000905901-mRNA-1
OG0006286	EmuJ_001195900.1	HmN_000194000.1	MCOS_0000905501-mRNA-1
OG0006287	EmuJ_001195950.1	HmN_000194100.1	MCOS_0000905401-mRNA-1
OG0006288	EmuJ_001196000.1	HmN_000194600.1	MCOS_0000905301-mRNA-1
OG0006289	EmuJ_001196100.1	HmN_000194700.1	MCOS_0000905201-mRNA-1
OG0006290	EmuJ_001196800.1	HmN_000195200.1	MCOS_0000922001-mRNA-1
OG0006291	EmuJ_001196900.1	HmN_000195300.1	MCOS_0000921901-mRNA-1
OG0006292	EmuJ_001197000.1	HmN_000195400.1	MCOS_0000921801-mRNA-1
OG0006293	EmuJ_001197200.1	HmN_000195500.1	MCOS_0000921701-mRNA-1
OG0006294	EmuJ_001197300.1	HmN_000195600.1	MCOS_0000921601-mRNA-1
OG0006295	EmuJ_001197500.1	HmN_000284600.1	MCOS_0000222201-mRNA-1
OG0006296	EmuJ_001198000.1	HmN_000195700.1	MCOS_0000917901-mRNA-1
OG0006297	EmuJ_001198100.1	HmN_000195800.1	MCOS_0000390501-mRNA-1
OG0006298	EmuJ_001198200.1	HmN_000195900.1	MCOS_0000123201-mRNA-1
OG0006299	EmuJ_001198400.1	HmN_000640200.1	MCOS_0000123001-mRNA-1
OG0006300	EmuJ_001198600.1	HmN_000196000.1	MCOS_0000122801-mRNA-1
OG0006301	EmuJ_001198900.1	HmN_000196300.1	MCOS_0000872401-mRNA-1
OG0006302	EmuJ_001199000.1	HmN_000196400.1	MCOS_0000872301-mRNA-1
OG0006303	EmuJ_001199100.1	HmN_000196500.1	MCOS_0000872201-mRNA-1
OG0006304	EmuJ_001199400.1	HmN_000196700.1	MCOS_0000872001-mRNA-1
OG0006305	EmuJ_001199700.1	HmN_000196800.1	MCOS_0000800701-mRNA-1
OG0006306	EmuJ_001199800.1	HmN_000196900.1	MCOS_0000800601-mRNA-1
OG0006307	EmuJ_001199900.1	HmN_000197000.1	MCOS_0000800501-mRNA-1
OG0006308	EmuJ_001200200.1	HmN_000068500.1	MCOS_0000800301-mRNA-1
OG0006309	EmuJ_001200300.1	HmN_000068600.1	MCOS_0000347801-mRNA-1
OG0006310	EmuJ_001200400.1	HmN_000068400.1	MCOS_0000349701-mRNA-1
OG0006311	EmuJ_001200500.1	HmN_000068300.1	MCOS_0000222601-mRNA-1
OG0006312	EmuJ_001200800.1	HmN_000068200.1	MCOS_0000406401-mRNA-1
OG0006313	EmuJ_002018400.1	HmN_000091100.1	MCOS_0000580401-mRNA-1
OG0006314	EmuJ_002101900.1	HmN_000458500.1	MCOS_0000880101-mRNA-1
OG0006315	EmuJ_002108200.1	HmN_000388800.1	MCOS_0000948601-mRNA-1
OG0006316	EmuJ_002118400.1	HmN_000278900.1	MCOS_0000105601-mRNA-1
OG0006317	EmuJ_002125100.1	HmN_000247700.1	MCOS_0000193301-mRNA-1
OG0006318	EmuJ_002135400.1	HmN_000172000.1	MCOS_0000796101-mRNA-1
OG0006319	EmuJ_002136500.1	HmN_000376000.1	MCOS_0000101901-mRNA-1
OG0006320	EmuJ_002152800.1	HmN_000138400.1	MCOS_0000740701-mRNA-1
OG0006321	EmuJ_002155100.1	HmN_000206500.1	MCOS_0000362101-mRNA-1
OG0006322	EmuJ_002162200.1	HmN_000056200.1	MCOS_0000794901-mRNA-1
OG0006323	EmuJ_002173200.1	HmN_000291200.1	MCOS_0000581301-mRNA-1
OG0006324	EmuJ_002175400.1	HmN_000489000.1, HmN_002001300.1	
OG0006325	EmuJ_002212900.1	HmN_000283500.1	MCOS_0000045401-mRNA-1
OG0006326	EmuJ_002214800.1	HmN_000174400.1	MCOS_0000662001-mRNA-1
OG0006327		HmN_000110400.1, HmN_002234100.1	MCOS_0000932601-mRNA-1
OG0006328		HmN_000188000.1, HmN_002008400.1	MCOS_0000323801-mRNA-1
OG0006329		HmN_000316300.1, HmN_000632500.1	MCOS_0000754401-mRNA-1
OG0006330		HmN_000342000.1, HmN_002218500.1, HmN_002218600.1	
OG0006331		HmN_000483400.1, HmN_000580100.1, HmN_000992800.1	
OG0006332		HmN_000585900.1, HmN_001003100.1	MCOS_0000850301-mRNA-1
OG0006333		HmN_000641700.1, HmN_002218100.1	MCOS_0000553201-mRNA-1
OG0006334		HmN_000819100.1, HmN_002023800.1	MCOS_0000414601-mRNA-1
OG0006335		HmN_000940200.1, HmN_002111300.1	MCOS_0000962501-mRNA-1
OG0006336		HmN_001007900.1, HmN_002068600.1	MCOS_0000745801-mRNA-1
OG0006337		HmN_001011700.1, HmN_002079800.1	MCOS_0000743601-mRNA-1
OG0006338		HmN_002151400.1	MCOS_0001025401-mRNA-1, MCOS_0001030501-mRNA-1
OG0006339		HmN_002203100.1, HmN_002203200.1	MCOS_0000219201-mRNA-1
OG0006340		HmN_002203300.1, HmN_002288300.1	MCOS_0000279501-mRNA-1
OG0006341	EmuJ_000025900.1		MCOS_0000469001-mRNA-1
OG0006342	EmuJ_000040350.1		MCOS_0000560601-mRNA-1
OG0006343	EmuJ_000041700.1	HmN_002046100.1	
OG0006344	EmuJ_000042100.1	HmN_000574500.1	
OG0006345	EmuJ_000053700.1	HmN_000732100.1	
OG0006346	EmuJ_000054250.1		MCOS_0000567201-mRNA-1
OG0006347	EmuJ_000056200.1		MCOS_0000107801-mRNA-1
OG0006348	EmuJ_000056400.1		MCOS_0000108101-mRNA-1
OG0006349	EmuJ_000056700.1		MCOS_0000586001-mRNA-1
OG0006350	EmuJ_000057500.1	HmN_000114600.1	
OG0006351	EmuJ_000059700.1		MCOS_0000994001-mRNA-1
OG0006352	EmuJ_000060200.1	HmN_000416000.1	
OG0006353	EmuJ_000063300.1	HmN_000100200.1	
OG0006354	EmuJ_000064100.1		MCOS_0000816801-mRNA-1
OG0006355	EmuJ_000064150.1		MCOS_0000816701-mRNA-1
OG0006356	EmuJ_000064200.1		MCOS_0000816601-mRNA-1
OG0006357	EmuJ_000066400.1	HmN_000732900.1	
OG0006358	EmuJ_000067300.1	HmN_000634900.1	
OG0006359	EmuJ_000069800.1		MCOS_0000077001-mRNA-1
OG0006360	EmuJ_000071700.1	HmN_002031500.1	
OG0006361	EmuJ_000073500.1	HmN_000274600.1	
OG0006362	EmuJ_000074600.1	HmN_002039700.1	
OG0006363	EmuJ_000074700.1	HmN_002166300.1	
OG0006364	EmuJ_000075100.1		MCOS_0000575501-mRNA-1
OG0006365	EmuJ_000076000.1	HmN_000223650.1	
OG0006366	EmuJ_000078100.1		MCOS_0000637001-mRNA-1
OG0006367	EmuJ_000084600.1		MCOS_0000375101-mRNA-1
OG0006368	EmuJ_000086000.1	HmN_002023000.1	
OG0006369	EmuJ_000086800.1		MCOS_0000922501-mRNA-1
OG0006370	EmuJ_000092400.1	HmN_000234350.1	
OG0006371	EmuJ_000093800.1	HmN_000232600.1	
OG0006372	EmuJ_000095800.1	HmN_000642100.1	
OG0006373	EmuJ_000096000.1		MCOS_0000553301-mRNA-1
OG0006374	EmuJ_000096500.1		MCOS_0000553901-mRNA-1
OG0006375	EmuJ_000098000.1		MCOS_0000584201-mRNA-1
OG0006376	EmuJ_000098900.1	HmN_000797400.1	
OG0006377	EmuJ_000099200.1	HmN_000797500.1	
OG0006378	EmuJ_000101200.1	HmN_000016500.1	
OG0006379	EmuJ_000101300.1		MCOS_0000935401-mRNA-1
OG0006380	EmuJ_000103700.1		MCOS_0000773701-mRNA-1
OG0006381	EmuJ_000104100.1	HmN_000022900.1	
OG0006382	EmuJ_000104400.1		MCOS_0001033601-mRNA-1
OG0006383	EmuJ_000104600.1		MCOS_0000821201-mRNA-1
OG0006384	EmuJ_000104650.1		MCOS_0000821301-mRNA-1
OG0006385	EmuJ_000104700.1		MCOS_0000821401-mRNA-1
OG0006386	EmuJ_000104800.1		MCOS_0000821501-mRNA-1
OG0006387	EmuJ_000104900.1		MCOS_0000821601-mRNA-1
OG0006388	EmuJ_000105000.1		MCOS_0000754801-mRNA-1
OG0006389	EmuJ_000105200.1		MCOS_0000754901-mRNA-1
OG0006390	EmuJ_000105300.1		MCOS_0000755001-mRNA-1
OG0006391	EmuJ_000105400.1		MCOS_0000755101-mRNA-1
OG0006392	EmuJ_000108100.1		MCOS_0000002701-mRNA-1
OG0006393	EmuJ_000108550.1	HmN_000425400.1	
OG0006394	EmuJ_000108800.1	HmN_000425700.1	
OG0006395	EmuJ_000109500.1		MCOS_0000997201-mRNA-1
OG0006396	EmuJ_000112200.1	HmN_000302900.1	
OG0006397	EmuJ_000112700.1		MCOS_0000340901-mRNA-1
OG0006398	EmuJ_000114100.1		MCOS_0000416101-mRNA-1
OG0006399	EmuJ_000117700.1		MCOS_0000703101-mRNA-1
OG0006400	EmuJ_000117800.1		MCOS_0000703001-mRNA-1
OG0006401	EmuJ_000118100.1		MCOS_0000702701-mRNA-1
OG0006402	EmuJ_000118800.1		MCOS_0000656901-mRNA-1
OG0006403	EmuJ_000120300.1	HmN_000403000.1	
OG0006404	EmuJ_000120600.1	HmN_002182000.1	
OG0006405	EmuJ_000121300.1	HmN_000404100.1	
OG0006406	EmuJ_000124300.1	HmN_002181900.1	
OG0006407	EmuJ_000125200.1	HmN_000849900.1	
OG0006408	EmuJ_000126200.1		MCOS_0000154201-mRNA-1
OG0006409	EmuJ_000126920.1		MCOS_0000299401-mRNA-1
OG0006410	EmuJ_000126930.1	HmN_000549100.1	
OG0006411	EmuJ_000128400.1	HmN_000547900.1	
OG0006412	EmuJ_000129000.1	HmN_002185800.1	
OG0006413	EmuJ_000129500.1	HmN_000738100.1	
OG0006414	EmuJ_000129700.1		MCOS_0000543401-mRNA-1
OG0006415	EmuJ_000129800.1		MCOS_0000543501-mRNA-1
OG0006416	EmuJ_000131200.1	HmN_002233300.1	
OG0006417	EmuJ_000131700.1		MCOS_0000696201-mRNA-1
OG0006418	EmuJ_000132600.1		MCOS_0000898501-mRNA-1
OG0006419	EmuJ_000133700.1		MCOS_0000930801-mRNA-1
OG0006420	EmuJ_000135300.1	HmN_000429100.1	
OG0006421	EmuJ_000137050.1	HmN_000428300.1	
OG0006422	EmuJ_000139050.1		MCOS_0000450301-mRNA-1
OG0006423	EmuJ_000140300.1	HmN_000247400.1	
OG0006424	EmuJ_000141300.1	HmN_002169800.1	
OG0006425	EmuJ_000149400.1	HmN_002090100.1	
OG0006426	EmuJ_000149600.1		MCOS_0000813901-mRNA-1
OG0006427	EmuJ_000149700.1		MCOS_0000814001-mRNA-1
OG0006428	EmuJ_000149800.1		MCOS_0000814201-mRNA-1
OG0006429	EmuJ_000154100.1	HmN_002069100.1	
OG0006430	EmuJ_000156900.1		MCOS_0000874501-mRNA-1
OG0006431	EmuJ_000159900.1		MCOS_0000476901-mRNA-1
OG0006432	EmuJ_000165300.1	HmN_000522800.1	
OG0006433	EmuJ_000166900.1	HmN_000125000.1	
OG0006434	EmuJ_000167000.1		MCOS_0000765101-mRNA-1
OG0006435	EmuJ_000167500.1		MCOS_0000765501-mRNA-1
OG0006436	EmuJ_000167600.1		MCOS_0000765601-mRNA-1
OG0006437	EmuJ_000167900.1		MCOS_0000765801-mRNA-1
OG0006438	EmuJ_000172800.1		MCOS_0000964301-mRNA-1
OG0006439	EmuJ_000174100.1		MCOS_0000729901-mRNA-1
OG0006440	EmuJ_000175750.1	HmN_000607200.1	
OG0006441	EmuJ_000176000.1		MCOS_0000326201-mRNA-1
OG0006442	EmuJ_000176100.1	HmN_002204000.1	
OG0006443	EmuJ_000177700.1	HmN_000203400.1	
OG0006444	EmuJ_000177800.1	HmN_000203600.1	
OG0006445	EmuJ_000181600.1	HmN_000200000.1	
OG0006446	EmuJ_000182700.1	HmN_002200900.1	
OG0006447	EmuJ_000182900.1		MCOS_0000721201-mRNA-1
OG0006448	EmuJ_000185500.1	HmN_000148700.1	
OG0006449	EmuJ_000189250.1	HmN_000134500.1	
OG0006450	EmuJ_000189800.1	HmN_000133700.1	
OG0006451	EmuJ_000192400.1		MCOS_0000668001-mRNA-1
OG0006452	EmuJ_000192800.1		MCOS_0000889401-mRNA-1
OG0006453	EmuJ_000193400.1		MCOS_0000242401-mRNA-1
OG0006454	EmuJ_000194700.1	HmN_000307800.1	
OG0006455	EmuJ_000195000.1	HmN_000305200.1	
OG0006456	EmuJ_000196000.1	HmN_000306700.1	
OG0006457	EmuJ_000196700.1	HmN_000331200.1	
OG0006458	EmuJ_000199000.1		MCOS_0000141301-mRNA-1
OG0006459	EmuJ_000200200.1	HmN_000781800.1	
OG0006460	EmuJ_000200900.1	HmN_002057800.1	
OG0006461	EmuJ_000201500.1	HmN_000911700.1	
OG0006462	EmuJ_000202100.1	HmN_002180300.1	
OG0006463	EmuJ_000202300.1	HmN_002284400.1	
OG0006464	EmuJ_000203200.1		MCOS_0000026001-mRNA-1
OG0006465	EmuJ_000204500.1	HmN_002283700.1	
OG0006466	EmuJ_000205200.1	HmN_000866400.1	
OG0006467	EmuJ_000205700.1		MCOS_0000797301-mRNA-1
OG0006468	EmuJ_000206000.1		MCOS_0000383201-mRNA-1
OG0006469	EmuJ_000207100.1		MCOS_0000753501-mRNA-1
OG0006470	EmuJ_000208500.1	HmN_002173600.1	
OG0006471	EmuJ_000209400.1	HmN_000652800.1	
OG0006472	EmuJ_000211700.1	HmN_000371300.1	
OG0006473	EmuJ_000213800.1	HmN_000692600.1	
OG0006474	EmuJ_000213900.1	HmN_000693300.1	
OG0006475	EmuJ_000214500.1	HmN_000808100.1	
OG0006476	EmuJ_000214700.1	HmN_000807900.1	
OG0006477	EmuJ_000215600.1	HmN_002175800.1	
OG0006478	EmuJ_000216300.1	HmN_000801800.1	
OG0006479	EmuJ_000217800.1		MCOS_0000774601-mRNA-1
OG0006480	EmuJ_000218000.1	HmN_002018900.1	
OG0006481	EmuJ_000218100.1		MCOS_0001002701-mRNA-1
OG0006482	EmuJ_000218400.1		MCOS_0000967001-mRNA-1
OG0006483	EmuJ_000218500.1	HmN_000726800.1	
OG0006484	EmuJ_000219100.1	HmN_002018700.1	
OG0006485	EmuJ_000220900.1		MCOS_0000116501-mRNA-1
OG0006486	EmuJ_000221400.1		MCOS_0000192101-mRNA-1
OG0006487	EmuJ_000221500.1		MCOS_0000079001-mRNA-1
OG0006488	EmuJ_000222100.1		MCOS_0000148901-mRNA-1
OG0006489	EmuJ_000222500.1	HmN_002083200.1	
OG0006490	EmuJ_000222800.1		MCOS_0000078701-mRNA-1
OG0006491	EmuJ_000223200.1	HmN_000813400.1	
OG0006492	EmuJ_000223550.1		MCOS_0000523701-mRNA-1
OG0006493	EmuJ_000225000.1	HmN_002013900.1	
OG0006494	EmuJ_000225200.1	HmN_002014000.1	
OG0006495	EmuJ_000225700.1	HmN_000627400.1	
OG0006496	EmuJ_000226200.1	HmN_000627800.1	
OG0006497	EmuJ_000226900.1		MCOS_0000780601-mRNA-1
OG0006498	EmuJ_000227300.1		MCOS_0000672101-mRNA-1
OG0006499	EmuJ_000227500.1	HmN_002048100.1	
OG0006500	EmuJ_000227700.1	HmN_000165600.1	
OG0006501	EmuJ_000229100.1		MCOS_0000147001-mRNA-1
OG0006502	EmuJ_000233000.1	HmN_000208200.1	
OG0006503	EmuJ_000233800.1	HmN_000207500.1	
OG0006504	EmuJ_000235400.1		MCOS_0000654201-mRNA-1
OG0006505	EmuJ_000236500.1	HmN_000532200.1	
OG0006506	EmuJ_000237600.1	HmN_002082100.1	
OG0006507	EmuJ_000237700.1		MCOS_0000112001-mRNA-1
OG0006508	EmuJ_000237800.1	HmN_000676200.1	
OG0006509	EmuJ_000240000.1	HmN_000166250.1	
OG0006510	EmuJ_000240300.1	HmN_000166500.1	
OG0006511	EmuJ_000240900.1	HmN_000167100.1	
OG0006512	EmuJ_000242100.1	HmN_000168400.1	
OG0006513	EmuJ_000244150.1	HmN_000171300.1	
OG0006514	EmuJ_000244400.1		MCOS_0000796601-mRNA-1
OG0006515	EmuJ_000245400.1	HmN_002000800.1	
OG0006516	EmuJ_000245600.1		MCOS_0000795601-mRNA-1
OG0006517	EmuJ_000247500.1		MCOS_0000662301-mRNA-1
OG0006518	EmuJ_000248500.1		MCOS_0000189701-mRNA-1
OG0006519	EmuJ_000249500.1		MCOS_0000201201-mRNA-1
OG0006520	EmuJ_000250400.1	HmN_000900500.1	
OG0006521	EmuJ_000251600.1	HmN_000809200.1	
OG0006522	EmuJ_000252100.1	HmN_000376400.1	
OG0006523	EmuJ_000253100.1	HmN_002179700.1	
OG0006524	EmuJ_000254000.1	HmN_000374500.1	
OG0006525	EmuJ_000255050.1	HmN_000900400.1	
OG0006526	EmuJ_000255100.1	HmN_000373600.1	
OG0006527	EmuJ_000255150.1		MCOS_0000839301-mRNA-1
OG0006528	EmuJ_000256200.1		MCOS_0000818501-mRNA-1
OG0006529	EmuJ_000256400.1	HmN_000372700.1	
OG0006530	EmuJ_000257800.1	HmN_000521000.1	
OG0006531	EmuJ_000257910.1		MCOS_0000679201-mRNA-1
OG0006532	EmuJ_000260300.1	HmN_000519100.1	
OG0006533	EmuJ_000263000.1	HmN_000761600.1	
OG0006534	EmuJ_000264600.1		MCOS_0000164301-mRNA-1
OG0006535	EmuJ_000264700.1	HmN_000228200.1	
OG0006536	EmuJ_000264900.1	HmN_000228100.1	
OG0006537	EmuJ_000265000.1	HmN_000228000.1	
OG0006538	EmuJ_000289800.1	HmN_002092700.1	
OG0006539	EmuJ_000290100.1	HmN_000313500.1	
OG0006540	EmuJ_000294000.1		MCOS_0000056201-mRNA-1
OG0006541	EmuJ_000296800.1		MCOS_0000310001-mRNA-1
OG0006542	EmuJ_000303200.1		MCOS_0000622901-mRNA-1
OG0006543	EmuJ_000306000.1		MCOS_0000248501-mRNA-1
OG0006544	EmuJ_000314900.1		MCOS_0000029401-mRNA-1
OG0006545	EmuJ_000316300.1	HmN_000315300.1	
OG0006546	EmuJ_000318000.1	HmN_002226300.1	
OG0006547	EmuJ_000318100.1	HmN_002226400.1	
OG0006548	EmuJ_000319600.1		MCOS_0000909201-mRNA-1
OG0006549	EmuJ_000319800.1	HmN_002226500.1	
OG0006550	EmuJ_000320400.1		MCOS_0000344201-mRNA-1
